fseqno,timestamp,car_count,inf_latency,model,gpu_util,gpu_power,network,gpu_mem,cpu_power,cpu_util,cpu_mem
8461,1738078359,13,0.0054161548614501,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8462,1738078359,11,0.0057129859924316,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8463,1738078360,12,0.0056178569793701,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8464,1738078360,11,0.0051343441009521,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8465,1738078360,10,0.0062334537506103,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8466,1738078360,12,0.0054497718811035,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8467,1738078360,12,0.0054409503936767,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8468,1738078360,14,0.0057861804962158,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8469,1738078360,15,0.0053849220275878,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8470,1738078360,14,0.0062904357910156,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8471,1738078360,13,0.005704641342163,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8472,1738078360,13,0.0059185028076171,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8473,1738078360,13,0.005739688873291,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8474,1738078360,12,0.0052692890167236,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8475,1738078360,11,0.006249189376831,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8476,1738078360,13,0.0053701400756835,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8477,1738078360,11,0.0053412914276123,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
